mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.3333333333333333	0	0	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	0
1	1	1/3	0.3333333333333333	1/12	1/12	4/4	1	1	1/12		1/8	2/3		5	71	B4	4	1
1	1	2/3	0.3333333333333333	1/6	1/6	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	2
1	1	1	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	12
1	1	1	0.3333333333333333	1/4	1/4	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	3
1	1	4/3	0.3333333333333333	1/3	1/3	4/4	1	1	1/12		1/8	2/3		9	75	D#5	5	4
1	1	5/3	0.3333333333333333	5/12	5/12	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	5
1	1	2	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	64	E4	4	13
1	1	2	0.3333333333333333	1/2	1/2	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	6
1	1	7/3	0.3333333333333333	7/12	7/12	4/4	1	1	1/12		1/8	2/3		5	71	B4	4	7
1	1	8/3	0.3333333333333333	2/3	2/3	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	8
1	1	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	67	G4	4	14
1	1	3	0.3333333333333333	3/4	3/4	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	9
1	1	10/3	0.3333333333333333	5/6	5/6	4/4	1	1	1/12		1/8	2/3		9	75	D#5	5	10
1	1	11/3	0.3333333333333333	11/12	11/12	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	11
2	2	4	1.0	0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	27
2	2	4	0.3333333333333333	0	0	4/4	1	1	1/12		1/8	2/3		0	72	C5	5	15
