mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.5	0	0	6/8	2	1	3/8		1/4	3/2		0	36	C2	2	11
1	1	0	1.5	0	0	6/8	2	1	3/8		1/4	3/2		0	48	C3	3	11
1	1	1/4	0.25	1/16	1/16	6/8	1	1	1/16		1/16	1		1	79	G5	5	0
1	1	1/2	0.25	1/8	1/8	6/8	1	1	1/16		1/16	1		-1	77	F5	5	1
1	1	3/4	0.25	3/16	3/16	6/8	1	1	1/16		1/16	1		4	76	E5	5	2
1	1	1	0.25	1/4	1/4	6/8	1	1	1/16		1/16	1		2	74	D5	5	3
1	1	5/4	0.25	5/16	5/16	6/8	1	1	1/16		1/16	1		0	72	C5	5	4
1	1	3/2	0.25	3/8	3/8	6/8	1	1	1/16		1/16	1		5	71	B4	4	5
1	1	7/4	0.25	7/16	7/16	6/8	1	1	1/16		1/16	1		3	69	A4	4	6
1	1	2	0.25	1/2	1/2	6/8	1	1	1/16		1/16	1		1	67	G4	4	7
1	1	9/4	0.25	9/16	9/16	6/8	1	1	1/16		1/16	1		-1	65	F4	4	8
1	1	5/2	0.25	5/8	5/8	6/8	1	1	1/16		1/16	1		4	64	E4	4	9
1	1	11/4	0.25	11/16	11/16	6/8	1	1	1/16		1/16	1		2	62	D4	4	10
2	2	3	0.25	0	0	6/8	2	1	1/16		1/16	1		0	36	C2	2	17
2	2	3	0.5	0	0	6/8	1	1	1/8		1/8	1		0	60	C4	4	12
2	2	13/4	0.25	1/16	1/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	18
2	2	7/2	0.25	1/8	1/8	6/8	2	1	1/16		1/16	1		0	36	C2	2	19
2	2	7/2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		0	60	C4	4	13
2	2	15/4	0.25	3/16	3/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	20
2	2	4	0.25	1/4	1/4	6/8	2	1	1/16		1/16	1		0	36	C2	2	21
2	2	4	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		0	60	C4	4	14
2	2	17/4	0.25	5/16	5/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	22
2	2	9/2	0.25	3/8	3/8	6/8	2	1	1/16		1/16	1		0	36	C2	2	23
2	2	9/2	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		3	57	A3	3	15
2	2	9/2	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		-1	65	F4	4	15
2	2	19/4	0.25	7/16	7/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	24
2	2	5	0.25	1/2	1/2	6/8	2	1	1/16		1/16	1		0	36	C2	2	25
2	2	21/4	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	26
2	2	11/2	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		0	36	C2	2	27
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		1	55	G3	3	16
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	16
2	2	23/4	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		0	48	C3	3	28
3	3	6	1.5	0	0	6/8	2	1	3/8		1/4	3/2		0	36	C2	2	40
3	3	25/4	0.25	1/16	1/16	6/8	1	1	1/16		1/16	1		1	79	G5	5	29
3	3	13/2	0.25	1/8	1/8	6/8	1	1	1/16		1/16	1		-1	77	F5	5	30
3	3	27/4	0.25	3/16	3/16	6/8	1	1	1/16		1/16	1		4	76	E5	5	31
3	3	7	0.25	1/4	1/4	6/8	1	1	1/16		1/16	1		2	74	D5	5	32
