mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	1/4	Dynamic	2/4	1	1	0					mf										
1	0	0	0	0.0	0	1/4	Tempo	2/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0			
1	0	0	0	0.5	0	1/4	Chord	2/4	1	1	1/8		1/8	1	0											
1	0	1/2	1/2	0.5	1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1											
1	0	0	0	0.25	0	1/4	Chord	2/4	2	1	1/16		1/16	1	2											
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	2	1	1/16		1/16	1	3											
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4											
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	2	1	1/16		1/16	1	5											
2	1	1	1	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	6											
2	1	1	1	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	7											
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	8											
2	1	2	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	9											
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	10											
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	11											
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	12											
2	1	1	1	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	13											
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	14											
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	15											
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	16											
2	1	2	2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	17											
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	18											
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	19											
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	20											
3	2	3	3	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	21											
