mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1	C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
1	1	2	2	2.0	1/2	1/2	4/4	2	1	IV6	vi	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	4	4	3.0	0	0	4/4	2	1	viio\\		C	I		viio		vii	o					\\	o	0	0	5, 2, -1		5	5
2	2	7	7	1.0	3/4	3/4	4/4	2	1	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	8	8	2.0	0	0	4/4	2	1	I[I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	10	10	1.0	1/2	1/2	4/4	2	1	viio64	ii6	C	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
3	3	11	11	1.0	3/4	3/4	4/4	2	1	I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	12	12	1.0	0	0	4/4	2	1	IV6		C	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	13	13	1.0	1/4	1/4	4/4	2	1	V65		C	I	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	14	14	1.0	1/2	1/2	4/4	2	1	I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	15	15	1.0	3/4	3/4	4/4	2	1	vi		C	I	I	vi		vi							m	0	0	3, 0, 4		3	3
5	5	16	16	1.0	0	0	4/4	2	1	#viio/vi		C	I	I	#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
5	5	17	17	1.0	1/4	1/4	4/4	2	1	vi		C	I	I	vi		vi							m	0	0	3, 0, 4		3	3
5	5	18	18	1.0	1/2	1/2	4/4	2	1	V		C	I	I	V		V							M	0	0	1, 5, 2		1	1
5	5	19	19	1.0	3/4	3/4	4/4	2	1	IV		C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	20	20	1.0	0	0	4/4	2	1	I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	21	21	1.0	1/4	1/4	4/4	2	1	IV		C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	22	22	1.0	1/2	1/2	4/4	2	1	I\\		C	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
6	6	23	23	1.0	3/4	3/4	4/4	2	1	I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
