mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.5	0	3/8	2/4	2	1	F.I[I		F	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	5/2	0.5	0	0	2/4	2	1	IV		F	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	3	1.5	1/8	1/8	2/4	2	1	I		F	I	I	I	I							M	0	0	0, 4, 1		0	0
4	3	9/2	0.5	0	0	2/4	2	1	IV(2)		F	I	I	IV(2)	IV			2				M	0	0	1, 3, 0		-1	1
4	3	5	0.5	1/8	1/8	2/4	2	1	IV		F	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	11/2	1.0	1/4	1/4	2/4	2	1	vii%7	V65	F	I	I	vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
5	4	13/2	0.5	0	0	2/4	2	1	I(#2)		F	I	I	I(#2)	I			#2				M	0	0	0, 9, 1		0	0
5	4	7	1.0	1/8	1/8	2/4	2	1	I]		F	I	I	I	I							M	0	0	0, 4, 1		0	0
5	4	8	0.5	3/8	3/8	2/4	2	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	5	17/2	1.0	0	0	2/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	19/2	0.5	1/4	1/4	2/4	2	1	ii(4)		F	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
6	5	10	0.5	3/8	3/8	2/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	21/2	1.0	0	0	2/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	6	23/2	2.0	1/4	1/4	2/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
8	7	27/2	1.0	1/4	1/4	2/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	29/2	1.0	0	0	2/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	8	31/2	2.0	1/4	1/4	2/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	9	35/2	1.0	1/4	1/4	2/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	37/2	1.0	0	0	2/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
11	10	39/2	1.0	1/4	1/4	2/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
12	11	41/2	0.5	0	0	2/4	2	1	#viio43/vi		F	I		#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
12	11	21	0.5	1/8	1/8	2/4	2	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
12	11	43/2	0.5	1/4	1/4	2/4	2	1	#viio43/vi		F	I		#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
12	11	22	0.5	3/8	3/8	2/4	2	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
13	12	45/2	1.0	0	0	2/4	2	1	#viio65/vi		F	I		#viio65/vi	#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
13	12	47/2	1.0	1/4	1/4	2/4	2	1	vi6\\		F	I		vi6	vi		6				\\	m	0	0	0, 4, 3		3	0
14	13	49/2	2.0	0	0	2/4	2	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
15	14	53/2	1.0	0	0	2/4	2	1	V.V[V7(4)		F	V	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
15	14	55/2	1.0	1/4	1/4	2/4	2	1	V7		F	V	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
