mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	3	2/4	1/2	0	3	firstMeasure					2
2	2	3	2/4	1/2	0	3						3
3	3	3	2/4	1/2	0	2						4
4	4	3	2/4	1/2	0	2						5
5	5	3	2/4	1/2	0	2						6
6	6	3	2/4	1/2	0	2						7
7	7	3	2/4	1/2	0	2						8
8	8	3	2/4	1/2	0	2						9
9	9	3	2/4	1/2	0	4						10
10	10	3	2/4	1/2	0	4						11
11	11	3	2/4	1/2	0	2						12
12	12	3	2/4	1/2	0	2						13
13	13	3	2/4	1/2	0	2						14
14	14	3	2/4	1/2	0	2						15
15	15	3	2/4	1/2	0	2						16
16	16	3	2/4	1/2	0	2						17
17	17	3	2/4	1/2	0	2						18
18	18	3	2/4	1/2	0	2						19
19	19	3	2/4	1/2	0	2						20
20	20	3	2/4	1/2	0	2						21
21	21	3	2/4	1/2	0	2						22
22	22	3	2/4	1/2	0	2						23
23	23	3	2/4	1/2	0	3						24
24	24	3	2/4	1/2	0	2						25
25	25	3	2/4	1/2	0	2						26
26	26	3	2/4	1/2	0	3						27
27	27	3	2/4	1/2	0	3						28
28	28	3	2/4	1/2	0	3						29
29	29	3	2/4	1/2	0	2						30
30	30	3	2/4	1/2	0	3						31
31	31	3	2/4	1/2	0	3						32
32	32	3	2/4	1/2	0	3						33
33	33	3	2/4	1/2	0	3						34
34	34	3	2/4	1/2	0	3						35
35	35	3	2/4	1/2	0	3						36
36	36	3	2/4	1/2	0	3						37
37	37	3	2/4	1/2	0	3						38
38	38	3	2/4	1/2	0	3						39
39	39	3	2/4	1/2	0	3						40
40	40	3	2/4	1/2	0	3						41
41	41	3	2/4	1/2	0	2						42
42	42	3	2/4	1/2	0	3						43
43	43	3	2/4	1/2	0	2						44
44	44	3	2/4	1/2	0	3						45
45	45	3	2/4	1/2	0	2						46
46	46	3	2/4	1/2	0	3						47
47	47	3	2/4	1/2	0	2						48
48	48	3	2/4	1/2	0	3						49
49	49	3	2/4	1/2	0	3						50
50	50	3	2/4	1/2	0	3						51
51	51	3	2/4	1/2	0	3						52
52	52	3	2/4	1/2	0	3						53
53	53	3	2/4	1/2	0	3						54
54	54	3	2/4	1/2	0	3						55
55	55	3	2/4	1/2	0	2						56
56	56	3	2/4	1/2	0	3						57
57	57	3	2/4	1/2	0	3						58
58	58	3	2/4	1/2	0	3						59
59	59	3	2/4	1/2	0	3						60
60	60	3	2/4	1/2	0	3						61
61	61	3	2/4	1/2	0	2						62
62	62	3	2/4	1/2	0	3						63
