mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-3	4/4	1	0	2	firstMeasure					2
2	2	-3	4/4	1	0	2						3
3	3	-3	4/4	1	0	2						4
4	4	-3	4/4	1	0	2						5
5	5	-3	4/4	1	0	2						6
6	6	-3	4/4	1	0	2						7
7	7	-3	4/4	1	0	2						8
8	8	-3	4/4	1	0	2						9
9	9	-3	4/4	1	0	2						10
10	10	-3	4/4	1	0	2						11
11	11	-3	4/4	1	0	2						12
12	12	-3	4/4	1	0	3						13
13	13	-3	4/4	1	0	2						14
14	14	-3	4/4	1	0	3						15
15	15	-3	4/4	1	0	3						16
16	16	-3	4/4	1	0	3						17
17	17	-3	4/4	1	0	2						18
18	18	-3	4/4	1	0	3						19
19	19	-3	4/4	1	0	3						20
20	20	-3	4/4	1	0	3						21
21	21	-3	4/4	1	0	3						22
22	22	-3	4/4	1	0	2						23
23	23	-3	4/4	1	0	2						24
24	24	-3	4/4	1	0	2						25
25	25	-3	4/4	1	0	2						26
26	26	-3	4/4	1	0	2						27
27	27	-3	4/4	1	0	2						28
28	28	-3	4/4	1	0	2						29
29	29	-3	4/4	1	0	2						30
30	30	-3	4/4	1	0	2						31
31	31	-3	4/4	1	0	2						32
32	32	-3	4/4	1	0	2						33
33	33	-3	4/4	1	0	2						34
34	34	-3	4/4	1	0	2						35
35	35	-3	4/4	1	0	2						36
36	36	-3	4/4	1	0	2						37
37	37	-3	4/4	1	0	3						38
38	38	-3	4/4	1	0	3						39
39	39	-3	4/4	1	0	3						40
40	40	-3	4/4	1	0	2						41
41	41	-3	4/4	1	0	3						42
42	42	-3	4/4	1	0	2						43
43	43	-3	4/4	1	0	2						44
44	44	-3	4/4	1	0	2						45
45	45	-3	4/4	1	0	2						46
46	46	-3	4/4	1	0	2						47
47	47	-3	4/4	1	0	4						48
48	48	-3	4/4	1	0	2						49
49	49	-3	4/4	1	0	2						50
50	50	-3	4/4	1	0	2						51
51	51	-3	4/4	1	0	2						52
52	52	-3	4/4	1	0	2						53
53	53	-3	4/4	1	0	2						54
54	54	-3	4/4	1	0	2						55
55	55	-3	4/4	1	0	2						56
56	56	-3	4/4	1	0	2						57
57	57	-3	4/4	1	0	2						58
58	58	-3	4/4	1	0	2						59
59	59	-3	4/4	1	0	2						60
60	60	-3	4/4	1	0	2						61
61	61	-3	4/4	1	0	2						62
62	62	-3	4/4	1	0	2						63
63	63	-3	4/4	1	0	4						64
64	64	-3	4/4	1	0	4						65
65	65	-3	4/4	1	0	4						66
66	66	-3	4/4	1	0	4						67
67	67	-3	4/4	1	0	4						68
68	68	-3	4/4	1	0	4						69
69	69	-3	4/4	1	0	2						70
70	70	-3	4/4	1	0	2						71
71	71	-3	4/4	1	0	3						72
72	72	-3	4/4	1	0	3						73
73	73	-3	4/4	1	0	3						74
74	74	-3	4/4	1	0	2						75
75	75	-3	4/4	1	0	2	endRepeat					1, 76
76	76	-3	4/4	1	0	2						77
77	77	-3	4/4	1	0	2						78
78	78	-3	4/4	1	0	2						79
79	79	-3	4/4	1	0	2						80
80	80	-3	4/4	1	0	2						81
81	81	-3	4/4	1	0	2						82
82	82	-3	4/4	1	0	2						83
83	83	-3	4/4	1	0	2						84
84	84	-3	4/4	1	0	2						85
85	85	-3	4/4	1	0	2						86
86	86	-3	4/4	1	0	2						87
87	87	-3	4/4	1	0	3						88
88	88	-3	4/4	1	0	2						89
89	89	-3	4/4	1	0	3						90
90	90	-3	4/4	1	0	2						91
91	91	-3	4/4	1	0	3						92
92	92	-3	4/4	1	0	3						93
93	93	-3	4/4	1	0	3						94
94	94	-3	4/4	1	0	2						95
95	95	-3	4/4	1	0	2						96
96	96	-3	4/4	1	0	3						97
97	97	-3	4/4	1	0	3						98
98	98	-3	4/4	1	0	3						99
99	99	-3	4/4	1	0	2						100
100	100	-3	4/4	1	0	3						101
